"","coef","param","sort","mean","lb","ub","rhat"
"800","b[4,9]","b[4,LA]",214,-0.0044272270229325,-0.0318224589846163,0.022736341676963,1.00027250378694
"850","b[5,9]","b[5,LA]",215,0.14686705064229,0.119463333688143,0.174879613124868,1.00096148243037
"900","b[6,9]","b[6,LA]",216,-0.275157761543808,-0.302656148672798,-0.247590837858811,1.00040494020228
"950","b[7,9]","b[7,LA]",217,-0.0395882855365038,-0.0682995045157537,-0.0129574962076478,1.00056537661121
"1000","b[8,9]","b[8,LA]",218,-0.0948420243523709,-0.122050899285754,-0.0670851887376022,0.999954324630665
"1050","b[9,9]","b[9,LA]",219,-0.0783443444935074,-0.105114295781748,-0.0509824098674164,1.00003021121792
"100","b[10,9]","b[10,LA]",220,-0.0556976907068183,-0.083709425742846,-0.0286432763259335,1.00073154156487
"150","b[11,9]","b[11,LA]",221,-0.118831188887615,-0.144789584736359,-0.0918378645204634,0.9997225623005
"200","b[12,9]","b[12,LA]",222,0.0793738317732126,0.0535648878931825,0.106117134640181,0.999679422031506
"250","b[13,9]","b[13,LA]",223,0.025154097985786,-0.0013945658823042,0.0514263751457513,1.00003387766914
"300","b[14,9]","b[14,LA]",224,0.000371273322935565,-0.0261207422944152,0.0261398341921478,0.999918278624499
"350","b[15,9]","b[15,LA]",225,-0.0549147893707439,-0.0807192062712799,-0.0290909315105916,0.999917871704019
"400","b[16,9]","b[16,LA]",226,-0.00261533131952067,-0.0287503511063725,0.023759401037275,1.00229419895686
"450","b[17,9]","b[17,LA]",227,-0.0230088346348287,-0.0505887002124587,0.00386611729484315,1.00028792909766
"500","b[18,9]","b[18,LA]",228,-0.00697853453440836,-0.0349266959995741,0.0225362424389491,0.999692112466221
"550","b[19,9]","b[19,LA]",229,-0.0310724821761029,-0.060070525106599,-0.00229578550562896,0.999713113646322
"650","b[20,9]","b[20,LA]",230,-0.0474391194794341,-0.0740010116269628,-0.0223723708765418,1.00124122805164
"700","b[21,9]","b[21,LA]",231,-0.0202295977236614,-0.0489754761153147,0.00998809256405187,1.00164647061957
"2","b[1,10]","b[1,ME]",232,-0.0598868730754699,-0.0900644064523593,-0.0300194099872517,0.999904928916547
"552","b[2,10]","b[2,ME]",233,-0.280663470543325,-0.309384889378843,-0.252768448567303,1.00066282885292
"702","b[3,10]","b[3,ME]",234,0.132710100000742,0.105648641438902,0.159949883884931,1.00028493139788
"752","b[4,10]","b[4,ME]",235,-0.055841405509113,-0.0829706713767228,-0.0295059330765178,0.999896519999314
"802","b[5,10]","b[5,ME]",236,0.0239166002312126,-0.00448456110138164,0.0511385264770249,1.00080039855278
"852","b[6,10]","b[6,ME]",237,0.0823844079946083,0.0559495109223074,0.109417830437831,1.00083047566115
"902","b[7,10]","b[7,ME]",238,-0.0673360460975211,-0.0939258092229076,-0.0406478129197973,1.00048395046312
"952","b[8,10]","b[8,ME]",239,-0.0130063281267216,-0.0398438272600464,0.0145395644468899,0.999778357633208
"1002","b[9,10]","b[9,ME]",240,-0.0368296044093063,-0.0635596568739766,-0.0099548061187486,0.999810133459265
"52","b[10,10]","b[10,ME]",241,0.0196128903288619,-0.00747346358783137,0.0468429683422334,0.999664954815919
"102","b[11,10]","b[11,ME]",242,-0.0871921564163546,-0.113846972483217,-0.0601082001570323,0.999771039023911
"152","b[12,10]","b[12,ME]",243,-0.124894833674427,-0.151996748580652,-0.098171791583545,1.00090254137141
"202","b[13,10]","b[13,ME]",244,-0.128534872772212,-0.155747606875995,-0.102121427499008,1.00114308435277
"252","b[14,10]","b[14,ME]",245,-0.086586909895333,-0.112739787600818,-0.0605722188631146,1.00088832516264
"302","b[15,10]","b[15,ME]",246,-0.167668237359174,-0.194506306807439,-0.14066232502494,1.00030182136221
"352","b[16,10]","b[16,ME]",247,-0.179604262587912,-0.205826555276671,-0.153204995352775,0.999533677960987
"402","b[17,10]","b[17,ME]",248,-0.146959504402737,-0.174156121348892,-0.120542149587479,0.999650850296346
"452","b[18,10]","b[18,ME]",249,-0.193302102757901,-0.222220263626915,-0.165460454320357,0.999976022258196
"502","b[19,10]","b[19,ME]",250,-0.109283095773891,-0.138380123013976,-0.0806171623012352,1.00287867534793
"602","b[20,10]","b[20,ME]",251,-0.117804408437583,-0.143173187516721,-0.0931629595227972,1.00245302610587
"652","b[21,10]","b[21,ME]",252,-0.0946589273316685,-0.123476170261285,-0.0659518088064314,1.00127556751624
